"iso_code","location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units"
"USA","United States","2021-06-04","3.3343297E7","16860.0","596692.0","525.0","100734.231","50.936","1802.68","1.586","4.5331257E8","851917.0","1369.513","2.574","tests performed"
"USA","United States","2021-06-03","3.3326437E7","19074.0","596167.0","612.0","100683.295","57.625","1801.094","1.849","4.52460653E8","973728.0","1366.94","2.942","tests performed"
"USA","United States","2021-06-02","3.3307363E7","16913.0","595555.0","552.0","100625.67","51.096","1799.245","1.668","4.51486925E8","1094736.0","1363.998","3.307","tests performed"
"USA","United States","2021-06-01","3.329045E7","22943.0","595003.0","639.0","100574.573","69.314","1797.578","1.93","4.50392189E8","693818.0","1360.691","2.096","tests performed"
"USA","United States","2021-05-31","3.3267507E7","5776.0","594364.0","143.0","100505.26","17.45","1795.647","0.432","4.49698371E8","309781.0","1358.594","0.936","tests performed"
"USA","United States","2021-05-30","3.3261731E7","6733.0","594221.0","129.0","100487.81","20.341","1795.215","0.39","4.4938859E8","352750.0","1357.659","1.066","tests performed"
"USA","United States","2021-05-29","3.3254998E7","11999.0","594092.0","328.0","100467.468","36.25","1794.826","0.991","4.4903584E8","566504.0","1356.593","1.711","tests performed"
"USA","United States","2021-05-28","3.3242999E7","21858.0","593764.0","554.0","100431.218","66.036","1793.835","1.674","4.48469336E8","827698.0","1354.881","2.501","tests performed"
"USA","United States","2021-05-27","3.3221141E7","27454.0","593210.0","1349.0","100365.182","82.942","1792.161","4.075","4.47641638E8","916885.0","1352.381","2.77","tests performed"
"USA","United States","2021-05-26","3.3193687E7","23972.0","591861.0","973.0","100282.24","72.422","1788.085","2.94","4.46724753E8","1036829.0","1349.611","3.132","tests performed"
"USA","United States","2021-05-25","3.3169715E7","22739.0","590888.0","627.0","100209.818","68.697","1785.146","1.894","4.45687924E8","1060444.0","1346.478","3.204","tests performed"
"USA","United States","2021-05-24","3.3146976E7","25819.0","590261.0","442.0","100141.121","78.002","1783.252","1.335","4.4462748E8","698709.0","1343.275","2.111","tests performed"
"USA","United States","2021-05-23","3.3121157E7","12866.0","589819.0","194.0","100063.118","38.87","1781.916","0.586","4.43928771E8","405016.0","1341.164","1.224","tests performed"
"USA","United States","2021-05-22","3.3108291E7","19799.0","589625.0","491.0","100024.248","59.815","1781.33","1.483","4.43523755E8","702399.0","1339.94","2.122","tests performed"
"USA","United States","2021-05-21","3.3088492E7","27952.0","589134.0","613.0","99964.433","84.446","1779.847","1.852","4.42821356E8","974191.0","1337.818","2.943","tests performed"
"USA","United States","2021-05-20","3.306054E7","30208.0","588521.0","678.0","99879.987","91.262","1777.995","2.048","4.41847165E8","999676.0","1334.875","3.02","tests performed"
"USA","United States","2021-05-19","3.3030332E7","29293.0","587843.0","669.0","99788.725","88.498","1775.947","2.021","4.40847489E8","1169191.0","1331.855","3.532","tests performed"
"USA","United States","2021-05-18","3.3001039E7","27790.0","587174.0","768.0","99700.227","83.957","1773.925","2.32","4.39678298E8","1205184.0","1328.323","3.641","tests performed"
"USA","United States","2021-05-17","3.2973249E7","28622.0","586406.0","399.0","99616.27","86.471","1771.605","1.205","4.38473114E8","790343.0","1324.682","2.388","tests performed"
"USA","United States","2021-05-16","3.2944627E7","16887.0","586007.0","276.0","99529.799","51.018","1770.4","0.834","4.37682771E8","451227.0","1322.294","1.363","tests performed"
