Date,Price,Open,High,Low,Vol.,Change %
16-Jun-21,"2,440.92","2,544.35","2,552.12","2,436.24",1.55M,-4.05%
15-Jun-21,"2,543.83","2,581.42","2,637.90","2,512.39",1.95M,-1.46%
14-Jun-21,"2,581.48","2,508.49","2,606.91","2,467.61",1.79M,2.92%
13-Jun-21,"2,508.27","2,368.68","2,547.90","2,311.96",1.62M,5.90%
12-Jun-21,"2,368.47","2,351.45","2,448.04","2,260.80",1.80M,0.72%
11-Jun-21,"2,351.45","2,470.04","2,493.48","2,324.21",587.18K,-4.80%
10-Jun-21,"2,469.97","2,607.45","2,615.46","2,432.41",1.29M,-5.23%
9-Jun-21,"2,606.23","2,507.86","2,620.74","2,408.37",2.32M,3.81%
8-Jun-21,"2,510.65","2,592.12","2,618.70","2,320.64",75.18K,-3.16%
7-Jun-21,"2,592.63","2,713.52","2,842.88","2,581.24",3.01M,-4.46%
6-Jun-21,"2,713.66","2,628.43","2,743.53","2,614.48",756.36K,3.22%
5-Jun-21,"2,628.98","2,688.75","2,814.02","2,555.98",2.55M,-2.14%
4-Jun-21,"2,686.50","2,856.63","2,856.63","2,557.71",2.47M,-5.85%
3-Jun-21,"2,853.35","2,705.05","2,889.19","2,666.39",1.09M,5.44%
2-Jun-21,"2,706.10","2,633.74","2,801.00","2,554.88",2.60M,2.75%
1-Jun-21,"2,633.67","2,707.94","2,738.23","2,529.73",2.45M,-2.76%
31-May-21,"2,708.47","2,386.93","2,713.98","2,279.42",2.83M,13.51%
30-May-21,"2,386.10","2,276.97","2,465.84","2,181.93",2.80M,4.83%
29-May-21,"2,276.07","2,411.68","2,567.42","2,207.21",2.94M,-5.73%
28-May-21,"2,414.29","2,742.39","2,760.17","2,332.43",3.26M,-11.75%
27-May-21,"2,735.88","2,885.02","2,885.87","2,638.62",2.39M,-5.16%
26-May-21,"2,884.66","2,705.69","2,908.37","2,648.10",2.66M,6.64%
25-May-21,"2,705.09","2,647.27","2,747.49","2,388.81",3.28M,2.20%
24-May-21,"2,646.79","2,101.30","2,667.20","2,080.87",3.24M,25.96%
23-May-21,"2,101.34","2,292.68","2,379.89","1,739.91",3.52M,-8.30%
22-May-21,"2,291.60","2,433.09","2,481.06","2,162.84",2.82M,-5.82%
21-May-21,"2,433.11","2,766.88","2,931.66","2,111.42",4.23M,-12.40%
20-May-21,"2,777.55","2,436.59","2,988.52","2,163.40",4.33M,14.04%
19-May-21,"2,435.69","3,376.22","3,434.01","1,922.25",6.42M,-27.89%
